,nombre,tipo de energía,Valores,Porcentaje,Fecha actualización
0,Hidráulica,Renovable,95019.5,0.30439937059028244,19/09/2024
1,Hidráulica,Renovable,96459.7,0.3193815392671288,20/09/2024
2,Hidráulica,Renovable,86650.3,0.28249451607177956,21/09/2024
3,Hidráulica,Renovable,78240.0,0.2777164564176679,22/09/2024
4,Hidráulica,Renovable,78649.0,0.2327651272457748,23/09/2024
5,Hidráulica,Renovable,73717.8,0.23665761392175402,24/09/2024
6,Hidráulica,Renovable,51906.1,0.122386259902673,25/09/2024
7,Hidráulica,Renovable,36432.5,0.0711133993189424,26/09/2024
8,Eólica,Renovable,96019.451,0.30760275994742625,19/09/2024
9,Eólica,Renovable,78540.537,0.2600505454809302,20/09/2024
10,Eólica,Renovable,102286.884,0.3334724033969906,21/09/2024
11,Eólica,Renovable,59248.44,0.21030504607713205,22/09/2024
12,Eólica,Renovable,88179.189,0.26097013500507604,23/09/2024
13,Eólica,Renovable,122830.472,0.3943249312974996,24/09/2024
14,Eólica,Renovable,269146.031,0.6346031796212562,25/09/2024
15,Eólica,Renovable,347669.332,0.6786234279137022,26/09/2024
16,Solar fotovoltaica,Renovable,100836.161,0.323033313595003,19/09/2024
17,Solar fotovoltaica,Renovable,106622.434,0.35303071740144176,20/09/2024
18,Solar fotovoltaica,Renovable,97489.844,0.31783324815601655,21/09/2024
19,Solar fotovoltaica,Renovable,121327.166,0.4306563216860705,22/09/2024
20,Solar fotovoltaica,Renovable,143674.441,0.4252107406493479,23/09/2024
21,Solar fotovoltaica,Renovable,98848.55,0.31733532447557034,24/09/2024
22,Solar fotovoltaica,Renovable,88946.721,0.20972210421889803,25/09/2024
23,Solar fotovoltaica,Renovable,109403.504,0.21354710949958172,26/09/2024
24,Solar térmica,Renovable,5801.277,0.018584659647965754,19/09/2024
25,Solar térmica,Renovable,6889.992,0.022813011552992632,20/09/2024
26,Solar térmica,Renovable,7706.805,0.02512547733746532,21/09/2024
27,Solar térmica,Renovable,10403.096,0.03692626478646236,22/09/2024
28,Solar térmica,Renovable,14729.187,0.04359166786967173,23/09/2024
29,Solar térmica,Renovable,3803.922,0.012211801004160005,24/09/2024
30,Solar térmica,Renovable,2573.071,0.006066888788678608,25/09/2024
31,Solar térmica,Renovable,7575.96,0.014787683214282159,26/09/2024
32,Hidroeólica,Renovable,6.387,2.0461050415547692e-05,19/09/2024
33,Hidroeólica,Renovable,6.733,2.2293205389251452e-05,20/09/2024
34,Hidroeólica,Renovable,18.54,6.0443510616475565e-05,21/09/2024
35,Hidroeólica,Renovable,80.867,0.0002870411130000965,22/09/2024
36,Hidroeólica,Renovable,147.863,0.00043760696270698927,23/09/2024
37,Hidroeólica,Renovable,94.646,0.00030384380064568304,24/09/2024
38,Hidroeólica,Renovable,79.257,0.00018687529598845136,25/09/2024
39,Hidroeólica,Renovable,81.046,0.00015819547275654992,26/09/2024
40,Otras renovables,Renovable,11685.136,0.03743387455903105,19/09/2024
41,Otras renovables,Renovable,10730.328,0.03552850230180243,20/09/2024
42,Otras renovables,Renovable,9830.457,0.032048939160965836,21/09/2024
43,Otras renovables,Renovable,9762.924,0.03465394500964985,22/09/2024
44,Otras renovables,Renovable,9846.182,0.02914020275038535,23/09/2024
45,Otras renovables,Renovable,9579.137,0.030752080309634704,24/09/2024
46,Otras renovables,Renovable,8923.824,0.021040945927159063,25/09/2024
47,Otras renovables,Renovable,8575.554,0.016738812762867046,26/09/2024
48,Residuos renovables,Renovable,2786.15,0.00892556060987603,19/09/2024
49,Residuos renovables,Renovable,2770.55,0.00917339079031496,20/09/2024
50,Residuos renovables,Renovable,2749.85,0.008964972366165875,21/09/2024
51,Residuos renovables,Renovable,2663.7,0.009454924910017152,22/09/2024
52,Residuos renovables,Renovable,2664.1,0.007884519517037326,23/09/2024
53,Residuos renovables,Renovable,2621.05,0.008414405190735663,24/09/2024
54,Residuos renovables,Renovable,2542.05,0.005993746245346692,25/09/2024
55,Residuos renovables,Renovable,2577.65,0.005031371817867889,26/09/2024
56,Generación renovable,Renovable,312154.062,1.0,19/09/2024
57,Generación renovable,Renovable,302020.274,1.0,20/09/2024
58,Generación renovable,Renovable,306732.67999999993,1.0,21/09/2024
59,Generación renovable,Renovable,281726.193,1.0,22/09/2024
60,Generación renovable,Renovable,337889.96199999994,1.0,23/09/2024
61,Generación renovable,Renovable,311495.577,1.0,24/09/2024
62,Generación renovable,Renovable,424117.054,1.0,25/09/2024
63,Generación renovable,Renovable,512315.54600000003,1.0,26/09/2024
64,Turbinación bombeo,No-Renovable,7590.7,0.018401865731534694,19/09/2024
65,Turbinación bombeo,No-Renovable,6020.2,0.014539114736000412,20/09/2024
66,Turbinación bombeo,No-Renovable,5353.4,0.015334011397546624,21/09/2024
67,Turbinación bombeo,No-Renovable,4987.9,0.015129222575833266,22/09/2024
68,Turbinación bombeo,No-Renovable,5712.5,0.016457350819286107,23/09/2024
69,Turbinación bombeo,No-Renovable,13583.1,0.03766510531817138,24/09/2024
70,Turbinación bombeo,No-Renovable,7414.7,0.02390841959951922,25/09/2024
71,Turbinación bombeo,No-Renovable,7056.0,0.024847695616573857,26/09/2024
72,Nuclear,No-Renovable,166505.6,0.4036536412647876,19/09/2024
73,Nuclear,No-Renovable,166471.8,0.402038570231639,20/09/2024
74,Nuclear,No-Renovable,166360.6,0.47651498795208563,21/09/2024
75,Nuclear,No-Renovable,166364.6,0.5046145797107944,22/09/2024
76,Nuclear,No-Renovable,166503.0,0.47968460104395527,23/09/2024
77,Nuclear,No-Renovable,167050.2,0.46321998486513344,24/09/2024
78,Nuclear,No-Renovable,166993.8,0.5384651895448491,25/09/2024
79,Nuclear,No-Renovable,166539.0,0.5864668906304696,26/09/2024
80,Ciclo combinado,No-Renovable,157417.853,0.3816225374013551,19/09/2024
81,Ciclo combinado,No-Renovable,158375.53,0.38248563204625685,20/09/2024
82,Ciclo combinado,No-Renovable,105371.083,0.3018196637078925,21/09/2024
83,Ciclo combinado,No-Renovable,88199.029,0.26752395611647645,22/09/2024
84,Ciclo combinado,No-Renovable,95135.097,0.2740781910819804,23/09/2024
85,Ciclo combinado,No-Renovable,96110.219,0.2665077574918477,24/09/2024
86,Ciclo combinado,No-Renovable,60692.331,0.1957001248898685,25/09/2024
87,Ciclo combinado,No-Renovable,49781.46,0.17530535224328894,26/09/2024
88,Carbón,No-Renovable,9374.4,0.022726026600142123,19/09/2024
89,Carbón,No-Renovable,9368.1,0.022624477718070076,20/09/2024
90,Carbón,No-Renovable,5940.0,0.01701423911933107,21/09/2024
91,Carbón,No-Renovable,7659.2,0.023231769192009092,22/09/2024
92,Carbón,No-Renovable,11266.5,0.03245807317382703,23/09/2024
93,Carbón,No-Renovable,13257.9,0.03676334561313576,24/09/2024
94,Carbón,No-Renovable,12824.0,0.04135050277748722,25/09/2024
95,Carbón,No-Renovable,13364.0,0.04706131012186693,26/09/2024
96,Motores diésel,No-Renovable,8366.346,0.020282236915641818,19/09/2024
97,Motores diésel,No-Renovable,8294.395,0.02003142097782601,20/09/2024
98,Motores diésel,No-Renovable,8070.464,0.023116633720530827,21/09/2024
99,Motores diésel,No-Renovable,6894.276,0.02091161332489133,22/09/2024
100,Motores diésel,No-Renovable,7032.067,0.020258939799339133,23/09/2024
101,Motores diésel,No-Renovable,7225.248,0.02003517068047111,24/09/2024
102,Motores diésel,No-Renovable,7774.32,0.025068000682554152,25/09/2024
103,Motores diésel,No-Renovable,7588.895,0.026724284725926768,26/09/2024
104,Turbina de gas,No-Renovable,2473.392,0.005996156808390801,19/09/2024
105,Turbina de gas,No-Renovable,2200.138,0.005313454506002205,20/09/2024
106,Turbina de gas,No-Renovable,1661.935,0.004760363550637287,21/09/2024
107,Turbina de gas,No-Renovable,1171.952,0.0035547470190246296,22/09/2024
108,Turbina de gas,No-Renovable,2025.669,0.005835824135974174,23/09/2024
109,Turbina de gas,No-Renovable,1580.406,0.004382369152510838,24/09/2024
110,Turbina de gas,No-Renovable,1825.679,0.005886832857166258,25/09/2024
111,Turbina de gas,No-Renovable,2022.347,0.007121692557694344,26/09/2024
112,Turbina de vapor,No-Renovable,2101.936,0.005095649155977593,19/09/2024
113,Turbina de vapor,No-Renovable,1738.354,0.0041982206999410755,20/09/2024
114,Turbina de vapor,No-Renovable,2551.332,0.007307907865454744,21/09/2024
115,Turbina de vapor,No-Renovable,2181.814,0.006617845110180453,22/09/2024
116,Turbina de vapor,No-Renovable,2297.616,0.006619286224946147,23/09/2024
117,Turbina de vapor,No-Renovable,2113.52,0.005860661659861268,24/09/2024
118,Turbina de vapor,No-Renovable,2166.34,0.006985281362054091,25/09/2024
119,Turbina de vapor,No-Renovable,2715.583,0.009562922308041736,26/09/2024
120,Cogeneración,No-Renovable,54640.64,0.13246337238530356,19/09/2024
121,Cogeneración,No-Renovable,56825.26,0.13723613418874037,20/09/2024
122,Cogeneración,No-Renovable,49660.78,0.14224585619065555,21/09/2024
123,Cogeneración,No-Renovable,48202.3,0.14620648476655265,22/09/2024
124,Cogeneración,No-Renovable,52224.48,0.1504554203439459,23/09/2024
125,Cogeneración,No-Renovable,54664.28,0.1515807042090546,24/09/2024
126,Cogeneración,No-Renovable,45605.82,0.1470542409996555,25/09/2024
127,Cogeneración,No-Renovable,30672.86,0.10801444004673805,26/09/2024
128,Residuos no renovables,No-Renovable,4025.35,0.009758513736866583,19/09/2024
129,Residuos no renovables,No-Renovable,4775.45,0.01153297489552393,20/09/2024
130,Residuos no renovables,No-Renovable,4149.75,0.011886336495866012,21/09/2024
131,Residuos no renovables,No-Renovable,4025.4,0.012209782184237702,22/09/2024
132,Residuos no renovables,No-Renovable,4912.4,0.014152313376745919,23/09/2024
133,Residuos no renovables,No-Renovable,5043.35,0.01398490100981364,24/09/2024
134,Residuos no renovables,No-Renovable,4832.25,0.015581407286845962,25/09/2024
135,Residuos no renovables,No-Renovable,4229.85,0.014895411749399793,26/09/2024
136,Generación no renovable,No-Renovable,412496.21700000006,1.0,19/09/2024
137,Generación no renovable,No-Renovable,414069.227,1.0,20/09/2024
138,Generación no renovable,No-Renovable,349119.3439999999,1.0,21/09/2024
139,Generación no renovable,No-Renovable,329686.471,1.0,22/09/2024
140,Generación no renovable,No-Renovable,347109.32899999997,1.0,23/09/2024
141,Generación no renovable,No-Renovable,360628.2230000001,1.0,24/09/2024
142,Generación no renovable,No-Renovable,310129.24,1.0,25/09/2024
143,Generación no renovable,No-Renovable,283969.995,1.0,26/09/2024
144,Consumos en bombeo,Demanda en b.c.,-2184.1,0.00289090798241745,19/09/2024
145,Consumos en bombeo,Demanda en b.c.,-6326.2,0.008450360299829554,20/09/2024
146,Consumos en bombeo,Demanda en b.c.,-14869.2,0.021071784671155,21/09/2024
147,Consumos en bombeo,Demanda en b.c.,-22619.0,0.034119604038699174,22/09/2024
148,Consumos en bombeo,Demanda en b.c.,-19400.1,0.027098253350436266,23/09/2024
149,Consumos en bombeo,Demanda en b.c.,-7084.8,0.010425893204936466,24/09/2024
150,Consumos en bombeo,Demanda en b.c.,-23157.0,0.029659794434531504,25/09/2024
151,Consumos en bombeo,Demanda en b.c.,-35733.1,0.03981080795647648,26/09/2024
152,Saldo I. internacionales,Demanda en b.c.,-28672.2,0.03795096005378399,19/09/2024
153,Saldo I. internacionales,Demanda en b.c.,-26215.1,0.03501739437514807,20/09/2024
154,Saldo I. internacionales,Demanda en b.c.,-34923.8,0.04949202334345378,21/09/2024
155,Saldo I. internacionales,Demanda en b.c.,-28901.0,0.043595679575686136,22/09/2024
156,Saldo I. internacionales,Demanda en b.c.,-11517.6,0.01608789865974839,23/09/2024
157,Saldo I. internacionales,Demanda en b.c.,330.3,0.00048606488900046783,24/09/2024
158,Saldo I. internacionales,Demanda en b.c.,-23350.6,0.029907759896487945,25/09/2024
159,Saldo I. internacionales,Demanda en b.c.,-65554.2,0.0730349638553736,26/09/2024
160,Demanda en b.c.,Demanda en b.c.,693793.9789999999,1.0,19/09/2024
161,Demanda en b.c.,Demanda en b.c.,683548.201,1.0,20/09/2024
162,Demanda en b.c.,Demanda en b.c.,606059.024,1.0,21/09/2024
163,Demanda en b.c.,Demanda en b.c.,559892.664,1.0,22/09/2024
164,Demanda en b.c.,Demanda en b.c.,654081.591,1.0,23/09/2024
165,Demanda en b.c.,Demanda en b.c.,665369.3,1.0,24/09/2024
166,Demanda en b.c.,Demanda en b.c.,687738.694,1.0,25/09/2024
167,Demanda en b.c.,Demanda en b.c.,694998.2409999999,1.0,26/09/2024
