,nombre,tipo de intercambio,Valores,Porcentaje,Fecha actualización
0,Francia,Exportación,-9297.7,0.1665481434244679,12/10/2024
1,Francia,Exportación,-8923.1,0.13908138422068225,13/10/2024
2,Francia,Exportación,-7027.8,0.12726449603418927,14/10/2024
3,Francia,Importación,46528.2,0.8334518565755322,12/10/2024
4,Francia,Importación,55234.3,0.8609186157793177,13/10/2024
5,Francia,Importación,48194.2,0.8727355039658107,14/10/2024
6,Francia,saldo,37230.5,1.0,12/10/2024
7,Francia,saldo,46311.200000000004,1.0,13/10/2024
8,Francia,saldo,41166.399999999994,1.0,14/10/2024
9,Portugal,Exportación,-51614.9,0.7453555084788596,12/10/2024
10,Portugal,Exportación,-41156.7,0.6504499464236608,13/10/2024
11,Portugal,Exportación,-33097.1,0.7391408242477299,14/10/2024
12,Portugal,Importación,17633.8,0.2546444915211405,12/10/2024
13,Portugal,Importación,22117.5,0.34955005357633917,13/10/2024
14,Portugal,Importación,11680.7,0.2608591757522701,14/10/2024
15,Portugal,saldo,-33981.100000000006,1.0,12/10/2024
16,Portugal,saldo,-19039.199999999997,1.0,13/10/2024
17,Portugal,saldo,-21416.399999999998,1.0,14/10/2024
18,Marruecos,Exportación,-14230.0,1.0,12/10/2024
19,Marruecos,Exportación,-15590.0,1.0,13/10/2024
20,Marruecos,Exportación,-16090.0,1.0,14/10/2024
21,Marruecos,saldo,-14230.0,1.0,12/10/2024
22,Marruecos,saldo,-15590.0,1.0,13/10/2024
23,Marruecos,saldo,-16090.0,1.0,14/10/2024
24,Andorra,Exportación,-159.0,1.0,12/10/2024
25,Andorra,Exportación,-369.0,1.0,13/10/2024
26,Andorra,Exportación,-68.0,1.0,14/10/2024
27,Andorra,saldo,-159.0,1.0,12/10/2024
28,Andorra,saldo,-369.0,1.0,13/10/2024
29,Andorra,saldo,-68.0,1.0,14/10/2024
