,Fecha actualización,Energia_consumida
0,03/07/2024,716572.221
1,04/07/2024,737273.306
2,05/07/2024,738941.786
3,06/07/2024,650171.313
4,07/07/2024,588034.182
5,08/07/2024,699572.289
6,09/07/2024,728921.489
7,10/07/2024,749616.241
8,11/07/2024,778021.864
9,12/07/2024,768643.681
10,13/07/2024,663864.724
11,14/07/2024,614696.388
12,15/07/2024,741338.456
13,16/07/2024,756019.015
14,17/07/2024,763913.631
15,18/07/2024,783034.169
16,19/07/2024,792939.826
17,20/07/2024,707133.696
18,21/07/2024,636663.318
19,22/07/2024,737131.203
20,23/07/2024,778357.588
21,24/07/2024,801085.747
22,25/07/2024,768326.684
23,26/07/2024,768327.379
24,27/07/2024,698695.925
25,28/07/2024,664413.766
26,29/07/2024,790703.417
27,30/07/2024,809734.205
28,31/07/2024,803724.415
29,01/08/2024,817958.262
30,02/08/2024,791864.347
31,03/08/2024,694990.682
32,04/08/2024,659574.43
33,05/08/2024,754079.542
34,06/08/2024,766100.486
35,07/08/2024,766388.473
36,08/08/2024,766073.831
37,09/08/2024,766734.267
38,10/08/2024,707677.763
39,11/08/2024,666190.129
40,12/08/2024,744095.433
41,13/08/2024,732020.377
42,14/08/2024,697232.341
43,15/08/2024,612002.738
44,16/08/2024,649665.979
45,17/08/2024,642653.613
46,18/08/2024,623080.263
47,19/08/2024,706327.765
48,20/08/2024,727022.087
49,21/08/2024,737200.528
50,22/08/2024,743508.367
51,23/08/2024,737613.32
52,24/08/2024,683026.923
53,25/08/2024,642201.456
54,26/08/2024,733142.138
55,27/08/2024,760325.578
56,28/08/2024,771969.357
57,29/08/2024,761579.471
58,30/08/2024,748783.437
59,31/08/2024,673469.514
60,01/09/2024,626754.782
61,02/09/2024,739434.214
62,03/09/2024,742753.809
63,04/09/2024,718213.434
64,05/09/2024,703614.26
65,06/09/2024,706959.881
66,07/09/2024,621071.146
67,08/09/2024,579174.948
68,09/09/2024,671868.895
69,10/09/2024,695177.859
70,11/09/2024,683578.523
71,12/09/2024,705001.661
72,13/09/2024,679273.489
73,14/09/2024,595716.678
74,15/09/2024,558723.141
75,16/09/2024,669859.391
76,17/09/2024,685876.4
77,18/09/2024,689088.709
78,19/09/2024,687152.936
79,20/09/2024,678502.426
80,21/09/2024,604504.485
81,22/09/2024,555780.898
82,23/09/2024,650308.026
83,24/09/2024,658582.587
84,25/09/2024,682397.378
85,26/09/2024,702319.515
86,27/09/2024,674697.414
87,28/09/2024,580098.071
88,29/09/2024,539709.212
89,30/09/2024,644307.768
90,01/10/2024,681809.733
91,02/10/2024,699644.968
92,03/10/2024,689010.048
93,04/10/2024,673026.421
94,05/10/2024,598027.769
95,06/10/2024,565533.205
96,07/10/2024,665564.644
97,08/10/2024,682877.223
98,09/10/2024,678971.738
99,10/10/2024,669069.836
100,11/10/2024,669490.783
