,nombre,tipo de energía,Valores,Porcentaje,Fecha actualización
0,Hidráulica,Renovable,38951.744,0.05331499835754041,08/09/2023
1,Hidráulica,Renovable,26380.041,0.04023815410222928,09/09/2023
2,Hidráulica,Renovable,22677.543,0.03505383326492304,10/09/2023
3,Hidráulica,Renovable,34410.083,0.04971547940221356,11/09/2023
4,Hidráulica,Renovable,36184.276,0.049279378412987844,12/09/2023
5,Hidráulica,Renovable,27251.012,0.03582562692351247,13/09/2023
6,Hidráulica,Renovable,24805.877,0.03384198048562901,14/09/2023
7,Hidráulica,Renovable,31052.893,0.044154141132031366,15/09/2023
8,Hidráulica,Renovable,24153.141,0.0396676351471544,16/09/2023
9,Hidráulica,Renovable,15558.041,0.02392570558669812,17/09/2023
10,Hidráulica,Renovable,31779.909,0.047813152321628485,18/09/2023
11,Hidráulica,Renovable,33073.974,0.047122174021917984,19/09/2023
12,Hidráulica,Renovable,29080.481,0.0407004762487174,20/09/2023
13,Hidráulica,Renovable,20213.244,0.0276513956959339,21/09/2023
14,Hidráulica,Renovable,31118.702,0.04333702100993857,22/09/2023
15,Hidráulica,Renovable,24335.723,0.03918088257713578,23/09/2023
16,Hidráulica,Renovable,23312.579,0.03886120701394761,24/09/2023
17,Hidráulica,Renovable,38970.565,0.05732960072879004,25/09/2023
18,Hidráulica,Renovable,40808.219,0.059449793395813424,26/09/2023
19,Hidráulica,Renovable,44279.829,0.06100939020534549,27/09/2023
20,Hidráulica,Renovable,41709.912,0.057747161087984014,28/09/2023
21,Hidráulica,Renovable,43508.807,0.06234486739464865,29/09/2023
22,Hidráulica,Renovable,27451.729,0.042849998719341816,30/09/2023
23,Hidráulica,Renovable,23512.598,0.03798107908366568,01/10/2023
24,Hidráulica,Renovable,25842.727,0.03611595217763625,02/10/2023
25,Hidráulica,Renovable,27088.352,0.03808226733834751,03/10/2023
26,Hidráulica,Renovable,27620.756,0.03833347452165752,04/10/2023
27,Hidráulica,Renovable,38745.423,0.054683153124025795,05/10/2023
28,Hidráulica,Renovable,41528.037,0.05992189368194911,06/10/2023
29,Hidráulica,Renovable,24530.895,0.04001602233319573,07/10/2023
30,Hidráulica,Renovable,22871.902,0.03872526953132499,08/10/2023
31,Turbinación bombeo,No-Renovable,10480.109,0.01434459504873118,08/09/2023
32,Turbinación bombeo,No-Renovable,13192.149,0.020122323706834644,09/09/2023
33,Turbinación bombeo,No-Renovable,12419.169,0.019196942076789403,10/09/2023
34,Turbinación bombeo,No-Renovable,5242.136,0.0075738063268142135,11/09/2023
35,Turbinación bombeo,No-Renovable,4400.221,0.0059926625520924,12/09/2023
36,Turbinación bombeo,No-Renovable,7140.595,0.00938740522670859,13/09/2023
37,Turbinación bombeo,No-Renovable,8771.07,0.011966131242934327,14/09/2023
38,Turbinación bombeo,No-Renovable,10597.651,0.015068811074124827,15/09/2023
39,Turbinación bombeo,No-Renovable,10799.887,0.01773707101475936,16/09/2023
40,Turbinación bombeo,No-Renovable,11025.302,0.016955099273516117,17/09/2023
41,Turbinación bombeo,No-Renovable,15820.152,0.023801557686251258,18/09/2023
42,Turbinación bombeo,No-Renovable,7985.467,0.011377301246602035,19/09/2023
43,Turbinación bombeo,No-Renovable,12816.753,0.017938078502283974,20/09/2023
44,Turbinación bombeo,No-Renovable,16807.971,0.02299303649462609,21/09/2023
45,Turbinación bombeo,No-Renovable,17313.393,0.02411125233290011,22/09/2023
46,Turbinación bombeo,No-Renovable,16396.046,0.026397882366400893,23/09/2023
47,Turbinación bombeo,No-Renovable,14722.586,0.02454200637032251,24/09/2023
48,Turbinación bombeo,No-Renovable,14649.407,0.021550743599009707,25/09/2023
49,Turbinación bombeo,No-Renovable,10635.073,0.015493273367293822,26/09/2023
50,Turbinación bombeo,No-Renovable,12962.414,0.017859801891494054,27/09/2023
51,Turbinación bombeo,No-Renovable,11135.565,0.015417133123194237,28/09/2023
52,Turbinación bombeo,No-Renovable,11965.273,0.017145341597754445,29/09/2023
53,Turbinación bombeo,No-Renovable,16998.403,0.02653317562550818,30/09/2023
54,Turbinación bombeo,No-Renovable,15326.548,0.024757741856837684,01/10/2023
55,Turbinación bombeo,No-Renovable,13878.93,0.019396202736528586,02/10/2023
56,Turbinación bombeo,No-Renovable,10751.625,0.015115214745129588,03/10/2023
57,Turbinación bombeo,No-Renovable,13195.162,0.01831290955019998,04/10/2023
58,Turbinación bombeo,No-Renovable,7382.646,0.010419459394687122,05/10/2023
59,Turbinación bombeo,No-Renovable,10275.258,0.014826439242254507,06/10/2023
60,Turbinación bombeo,No-Renovable,12323.618,0.020102901794401423,07/10/2023
61,Turbinación bombeo,No-Renovable,13197.372,0.0223449622950099,08/10/2023
62,Nuclear,No-Renovable,163231.062,0.22342167278645025,08/09/2023
63,Nuclear,No-Renovable,162557.189,0.24795265562351518,09/09/2023
64,Nuclear,No-Renovable,163778.663,0.25316102124264606,10/09/2023
65,Nuclear,No-Renovable,163514.484,0.23624473562779777,11/09/2023
66,Nuclear,No-Renovable,163486.687,0.22265257743884945,12/09/2023
67,Nuclear,No-Renovable,163605.227,0.21508411596745727,13/09/2023
68,Nuclear,No-Renovable,162714.088,0.22198638616296135,14/09/2023
69,Nuclear,No-Renovable,163691.166,0.23275264065189594,15/09/2023
70,Nuclear,No-Renovable,163837.034,0.2690758807851919,16/09/2023
71,Nuclear,No-Renovable,161560.003,0.24845268542254548,17/09/2023
72,Nuclear,No-Renovable,163891.9,0.24657680357049178,18/09/2023
73,Nuclear,No-Renovable,164125.743,0.23383829905419248,19/09/2023
74,Nuclear,No-Renovable,144409.722,0.2021130414020622,20/09/2023
75,Nuclear,No-Renovable,115413.095,0.15788327486361964,21/09/2023
76,Nuclear,No-Renovable,127688.454,0.17782352277175872,22/09/2023
77,Nuclear,No-Renovable,139091.629,0.22393962913333343,23/09/2023
78,Nuclear,No-Renovable,138517.22,0.23090308289857261,24/09/2023
79,Nuclear,No-Renovable,138503.073,0.20375187977901935,25/09/2023
80,Nuclear,No-Renovable,138814.453,0.20222618760213118,26/09/2023
81,Nuclear,No-Renovable,138487.209,0.19080968384792618,27/09/2023
82,Nuclear,No-Renovable,138404.139,0.19161982672312355,28/09/2023
83,Nuclear,No-Renovable,138340.676,0.1982318453481396,29/09/2023
84,Nuclear,No-Renovable,138174.336,0.2156793155231099,30/09/2023
85,Nuclear,No-Renovable,137688.802,0.222415629174504,01/10/2023
86,Nuclear,No-Renovable,137998.815,0.19285730190588915,02/10/2023
87,Nuclear,No-Renovable,148363.465,0.20857736703117133,03/10/2023
88,Nuclear,No-Renovable,159640.052,0.22155649418061116,04/10/2023
89,Nuclear,No-Renovable,154335.239,0.21782024438525596,05/10/2023
90,Nuclear,No-Renovable,136990.992,0.19766789501773807,06/10/2023
91,Nuclear,No-Renovable,137676.308,0.2245844766642201,07/10/2023
92,Nuclear,No-Renovable,138773.399,0.23496241283532548,08/10/2023
93,Carbón,No-Renovable,10448.214,0.014300938932265285,08/09/2023
94,Carbón,No-Renovable,10654.157,0.01625105932152815,09/09/2023
95,Carbón,No-Renovable,11475.828,0.01773877184529802,10/09/2023
96,Carbón,No-Renovable,13141.731,0.018987093313315502,11/09/2023
97,Carbón,No-Renovable,12801.155,0.01743389756833359,12/09/2023
98,Carbón,No-Renovable,12728.758,0.016733900939446752,13/09/2023
99,Carbón,No-Renovable,12937.876,0.01765079086369282,14/09/2023
100,Carbón,No-Renovable,12406.252,0.017640462733296586,15/09/2023
101,Carbón,No-Renovable,12101.126,0.019874146018430645,16/09/2023
102,Carbón,No-Renovable,11523.562,0.01772134112013602,17/09/2023
103,Carbón,No-Renovable,12920.307,0.019438715404540736,18/09/2023
104,Carbón,No-Renovable,11970.991,0.01705568012833335,19/09/2023
105,Carbón,No-Renovable,12904.898,0.018061444531853536,20/09/2023
106,Carbón,No-Renovable,13554.938,0.01854293918738877,21/09/2023
107,Carbón,No-Renovable,13203.949,0.018388293162971813,22/09/2023
108,Carbón,No-Renovable,11660.905,0.018774233646073942,23/09/2023
109,Carbón,No-Renovable,10726.508,0.017880692132979586,24/09/2023
110,Carbón,No-Renovable,15116.6,0.022238031251967414,25/09/2023
111,Carbón,No-Renovable,19459.305,0.028348496705433757,26/09/2023
112,Carbón,No-Renovable,19886.878,0.027400428756581257,27/09/2023
113,Carbón,No-Renovable,19831.748,0.027456954270541376,28/09/2023
114,Carbón,No-Renovable,20136.761,0.028854472941598524,29/09/2023
115,Carbón,No-Renovable,12655.73,0.01975460322708037,30/09/2023
116,Carbón,No-Renovable,12119.983,0.019578016551624094,01/10/2023
117,Carbón,No-Renovable,13778.858,0.019256349246364005,02/10/2023
118,Carbón,No-Renovable,12717.874,0.01787947371783337,03/10/2023
119,Carbón,No-Renovable,13596.617,0.018870068992689247,04/10/2023
120,Carbón,No-Renovable,12795.673,0.018059107161740435,05/10/2023
121,Carbón,No-Renovable,12858.636,0.018554063108903594,06/10/2023
122,Carbón,No-Renovable,11369.515,0.01854652128092366,07/10/2023
123,Carbón,No-Renovable,12236.949,0.020718834326330964,08/10/2023
124,Fuel + Gas,No-Renovable,-0.001,1.3878503007541691e-09,04/10/2023
125,Motores diésel,No-Renovable,8293.679,0.011351930282324904,08/09/2023
126,Motores diésel,No-Renovable,8039.205,0.012262405871522797,09/09/2023
127,Motores diésel,No-Renovable,8001.976,0.012369061872969033,10/09/2023
128,Motores diésel,No-Renovable,8175.841,0.011812405533322112,11/09/2023
129,Motores diésel,No-Renovable,7349.132,0.010008785496633902,12/09/2023
130,Motores diésel,No-Renovable,6942.373,0.009126812063414967,13/09/2023
131,Motores diésel,No-Renovable,6895.553,0.00940741462451098,14/09/2023
132,Motores diésel,No-Renovable,7183.111,0.010213673066179275,15/09/2023
133,Motores diésel,No-Renovable,7679.592,0.012612490174052547,16/09/2023
134,Motores diésel,No-Renovable,6552.737,0.010077030665304423,17/09/2023
135,Motores diésel,No-Renovable,6491.208,0.00976607947037776,18/09/2023
136,Motores diésel,No-Renovable,6680.791,0.009518462949328782,19/09/2023
137,Motores diésel,No-Renovable,7016.332,0.00981992195793171,20/09/2023
138,Motores diésel,No-Renovable,6738.499,0.009218159254677522,21/09/2023
139,Motores diésel,No-Renovable,6892.66,0.009598965639195463,22/09/2023
140,Motores diésel,No-Renovable,6408.033,0.010317030175080934,23/09/2023
141,Motores diésel,No-Renovable,6302.819,0.010506566173156656,24/09/2023
142,Motores diésel,No-Renovable,7001.324,0.010299648195834347,25/09/2023
143,Motores diésel,No-Renovable,6415.588,0.009346288332569962,26/09/2023
144,Motores diésel,No-Renovable,5918.866,0.008155099365156817,27/09/2023
145,Motores diésel,No-Renovable,5953.527,0.008242627860511003,28/09/2023
146,Motores diésel,No-Renovable,7659.0,0.01097477435719196,29/09/2023
147,Motores diésel,No-Renovable,7695.346,0.01201183234195894,30/09/2023
148,Motores diésel,No-Renovable,6579.752,0.010628603485795462,01/10/2023
149,Motores diésel,No-Renovable,7235.851,0.010112309303909817,02/10/2023
150,Motores diésel,No-Renovable,7788.375,0.010949317953388316,03/10/2023
151,Motores diésel,No-Renovable,7230.269,0.010034531006183544,04/10/2023
152,Motores diésel,No-Renovable,7838.51,0.011062840702351022,05/10/2023
153,Motores diésel,No-Renovable,7954.891,0.01147832084510746,06/10/2023
154,Motores diésel,No-Renovable,7534.932,0.012291357783363027,07/10/2023
155,Motores diésel,No-Renovable,7311.034,0.012378584089888156,08/10/2023
156,Turbina de gas,No-Renovable,2334.017,0.0031946737101545795,08/09/2023
157,Turbina de gas,No-Renovable,2503.276,0.0038183111788344867,09/09/2023
158,Turbina de gas,No-Renovable,1914.995,0.002960105309166927,10/09/2023
159,Turbina de gas,No-Renovable,2598.356,0.0037540890034359416,11/09/2023
160,Turbina de gas,No-Renovable,2801.504,0.0038153692985732008,12/09/2023
161,Turbina de gas,No-Renovable,2773.235,0.003645841940887447,13/09/2023
162,Turbina de gas,No-Renovable,2750.667,0.0037526598610669436,14/09/2023
163,Turbina de gas,No-Renovable,3073.966,0.004370875480074141,15/09/2023
164,Turbina de gas,No-Renovable,2141.747,0.0035174737138127287,16/09/2023
165,Turbina de gas,No-Renovable,1995.216,0.0030683137162236217,17/09/2023
166,Turbina de gas,No-Renovable,3067.666,0.004615330450753676,18/09/2023
167,Turbina de gas,No-Renovable,2371.383,0.003378630049071754,19/09/2023
168,Turbina de gas,No-Renovable,2011.431,0.0028151597506737903,20/09/2023
169,Turbina de gas,No-Renovable,1743.816,0.0023855125004626013,21/09/2023
170,Turbina de gas,No-Renovable,1558.718,0.002170726616893257,22/09/2023
171,Turbina de gas,No-Renovable,1222.198,0.0019677572893153903,23/09/2023
172,Turbina de gas,No-Renovable,1361.139,0.0022689683734158123,24/09/2023
173,Turbina de gas,No-Renovable,1900.167,0.0027953357983909848,25/09/2023
174,Turbina de gas,No-Renovable,2317.929,0.003376780548941977,26/09/2023
175,Turbina de gas,No-Renovable,2090.492,0.0028803101780079843,27/09/2023
176,Turbina de gas,No-Renovable,1939.267,0.0026849053012054187,28/09/2023
177,Turbina de gas,No-Renovable,1688.733,0.002419828126980526,29/09/2023
178,Turbina de gas,No-Renovable,2079.891,0.0032465469364924364,30/09/2023
179,Turbina de gas,No-Renovable,1658.784,0.002679517009848052,01/10/2023
180,Turbina de gas,No-Renovable,2859.899,0.00399679087725029,02/10/2023
181,Turbina de gas,No-Renovable,3299.137,0.004638104865878655,03/10/2023
182,Turbina de gas,No-Renovable,3058.345,0.004244525028060009,04/10/2023
183,Turbina de gas,No-Renovable,3401.781,0.0048010860874431955,05/10/2023
184,Turbina de gas,No-Renovable,2837.518,0.004094329137604479,06/10/2023
185,Turbina de gas,No-Renovable,2112.744,0.0034464136383252743,07/10/2023
186,Turbina de gas,No-Renovable,2137.769,0.003619536351664636,08/10/2023
187,Turbina de vapor,No-Renovable,4026.16,0.005510785699022742,08/09/2023
188,Turbina de vapor,No-Renovable,4677.583,0.007134837492480316,09/09/2023
189,Turbina de vapor,No-Renovable,4249.815,0.0065691555040494854,10/09/2023
190,Turbina de vapor,No-Renovable,4804.434,0.006941417129574913,11/09/2023
191,Turbina de vapor,No-Renovable,3973.953,0.00541212801058748,12/09/2023
192,Turbina de vapor,No-Renovable,3294.808,0.004331529493018618,13/09/2023
193,Turbina de vapor,No-Renovable,2695.01,0.003676728536087438,14/09/2023
194,Turbina de vapor,No-Renovable,2756.202,0.003919046515131042,15/09/2023
195,Turbina de vapor,No-Renovable,2920.999,0.00479726933226626,16/09/2023
196,Turbina de vapor,No-Renovable,2874.813,0.004420989085631821,17/09/2023
197,Turbina de vapor,No-Renovable,3206.877,0.004824774623417801,18/09/2023
198,Turbina de vapor,No-Renovable,3307.667,0.004712601515032799,19/09/2023
199,Turbina de vapor,No-Renovable,3271.521,0.004578757234368999,20/09/2023
200,Turbina de vapor,No-Renovable,3408.961,0.004663404326539893,21/09/2023
201,Turbina de vapor,No-Renovable,3503.892,0.00487964572624384,22/09/2023
202,Turbina de vapor,No-Renovable,3309.608,0.005328519001648284,23/09/2023
203,Turbina de vapor,No-Renovable,3177.341,0.005296509938042603,24/09/2023
204,Turbina de vapor,No-Renovable,4152.895,0.0061093241070173995,25/09/2023
205,Turbina de vapor,No-Renovable,3578.103,0.00521261376535301,26/09/2023
206,Turbina de vapor,No-Renovable,3392.715,0.0046745319023370376,27/09/2023
207,Turbina de vapor,No-Renovable,3515.335,0.004866963433613294,28/09/2023
208,Turbina de vapor,No-Renovable,4475.366,0.006412864866934162,29/09/2023
209,Turbina de vapor,No-Renovable,3878.917,0.00605468560768734,30/09/2023
210,Turbina de vapor,No-Renovable,3685.595,0.005953526495258533,01/10/2023
211,Turbina de vapor,No-Renovable,3803.922,0.005316090095269685,02/10/2023
212,Turbina de vapor,No-Renovable,3988.165,0.0056067776186399495,03/10/2023
213,Turbina de vapor,No-Renovable,4625.621,0.0064196694960248,04/10/2023
