,nombre,tipo de energía,Valores,Porcentaje,Fecha actualización
0,Renewable generation,Renewable,283293.855,1,28/07/2022
1,Renewable generation,Renewable,315791.70100000006,1,29/07/2022
2,Renewable generation,Renewable,358667.54600000003,1,30/07/2022
3,Renewable generation,Renewable,312348.7135,1,31/07/2022
4,Renewable generation,Renewable,306444.62,1,01/08/2022
5,Renewable generation,Renewable,287468.0025,1,02/08/2022
6,Renewable generation,Renewable,310015.799,1,03/08/2022
7,Renewable generation,Renewable,358387.9290000001,1,04/08/2022
8,Renewable generation,Renewable,401643.374,1,05/08/2022
9,Renewable generation,Renewable,347761.76949999994,1,06/08/2022
10,Renewable generation,Renewable,307240.391,1,07/08/2022
11,Renewable generation,Renewable,298534.915,1,08/08/2022
12,Renewable generation,Renewable,321734.18950000004,1,09/08/2022
13,Renewable generation,Renewable,291325.50350000005,1,10/08/2022
14,Renewable generation,Renewable,276278.443,1,11/08/2022
15,Renewable generation,Renewable,247774.01949999997,1,12/08/2022
16,Renewable generation,Renewable,284670.754,1,13/08/2022
17,Renewable generation,Renewable,310229.3505,1,14/08/2022
18,Renewable generation,Renewable,296672.2915,1,15/08/2022
19,Renewable generation,Renewable,345796.86549999996,1,16/08/2022
20,Renewable generation,Renewable,351380.85449999996,1,17/08/2022
21,Renewable generation,Renewable,374002.33949999994,1,18/08/2022
22,Renewable generation,Renewable,343456.5375,1,19/08/2022
23,Renewable generation,Renewable,271373.661,1,20/08/2022
24,Renewable generation,Renewable,301016.4745,1,21/08/2022
25,Renewable generation,Renewable,371158.7525,1,22/08/2022
26,Renewable generation,Renewable,305518.9645,1,23/08/2022
27,Renewable generation,Renewable,267830.78699999995,1,24/08/2022
28,Renewable generation,Renewable,306000.4175000001,1,25/08/2022
29,Renewable generation,Renewable,361960.36950000003,1,26/08/2022
30,Renewable generation,Renewable,278880.01050000003,1,27/08/2022
31,Renewable generation,Renewable,268119.4015,1,28/08/2022
32,Renewable generation,Renewable,277837.629,1,29/08/2022
33,Renewable generation,Renewable,220283.95950000003,1,30/08/2022
34,Renewable generation,Renewable,257326.51300000004,1,31/08/2022
35,Renewable generation,Renewable,203921.9865,1,01/09/2022
36,Renewable generation,Renewable,251710.54650000005,1,02/09/2022
37,Renewable generation,Renewable,270099.432,1,03/09/2022
38,Renewable generation,Renewable,316312.15799999994,1,04/09/2022
39,Renewable generation,Renewable,333799.16399999993,1,05/09/2022
40,Renewable generation,Renewable,323705.281,1,06/09/2022
41,Renewable generation,Renewable,295460.805,1,07/09/2022
42,Renewable generation,Renewable,250146.842,1,08/09/2022
43,Renewable generation,Renewable,263179.34500000003,1,09/09/2022
44,Renewable generation,Renewable,221116.52000000002,1,10/09/2022
45,Renewable generation,Renewable,259373.66499999998,1,11/09/2022
46,Renewable generation,Renewable,281111.01149999996,1,12/09/2022
47,Renewable generation,Renewable,358628.67350000003,1,13/09/2022
48,Renewable generation,Renewable,263663.50950000004,1,14/09/2022
49,Renewable generation,Renewable,218470.8285,1,15/09/2022
50,Renewable generation,Renewable,355196.7645,1,16/09/2022
51,Renewable generation,Renewable,352263.084,1,17/09/2022
52,Renewable generation,Renewable,278355.73549999995,1,18/09/2022
53,Renewable generation,Renewable,251048.72999999998,1,19/09/2022
54,Renewable generation,Renewable,285689.59499999986,1,20/09/2022
55,Renewable generation,Renewable,261579.05150000003,1,21/09/2022
56,Renewable generation,Renewable,240785.72,1,22/09/2022
57,Renewable generation,Renewable,272644.85000000003,1,23/09/2022
58,Renewable generation,Renewable,335498.8675,1,24/09/2022
59,Renewable generation,Renewable,325415.2484999999,1,25/09/2022
60,Renewable generation,Renewable,323890.3995,1,26/09/2022
61,Non-renewable generation,Non-renewable,541602.8709999999,1,28/07/2022
62,Non-renewable generation,Non-renewable,549641.6039999999,1,29/07/2022
