,datetime,percentage,value
0,01/01/2023,1,501833.701
1,02/01/2023,1,617718.194
2,03/01/2023,1,672722.853
3,04/01/2023,1,684806.731
4,05/01/2023,1,667109.305
5,06/01/2023,1,575311.204
6,07/01/2023,1,620535.693
7,08/01/2023,1,608145.575
8,09/01/2023,1,697063.435
9,10/01/2023,1,726472.416
10,11/01/2023,1,734639.472
11,12/01/2023,1,738345.461
12,13/01/2023,1,733478.186
13,14/01/2023,1,657961.407
14,15/01/2023,1,611148.341
15,16/01/2023,1,750249.738
16,17/01/2023,1,753955.969
17,18/01/2023,1,775893.775
18,19/01/2023,1,785127.303
19,20/01/2023,1,753339.2
20,21/01/2023,1,672429.444
21,22/01/2023,1,644921.153
22,23/01/2023,1,781546.18
23,24/01/2023,1,821055.295
24,25/01/2023,1,810969.945
25,26/01/2023,1,812716.023
26,27/01/2023,1,801794.112
27,28/01/2023,1,714180.153
28,29/01/2023,1,671427.042
29,30/01/2023,1,790823.822
30,31/01/2023,1,798927.897
31,01/02/2023,1,796985.877
32,02/02/2023,1,786555.539
33,03/02/2023,1,771589.405
34,04/02/2023,1,679736.427
35,05/02/2023,1,633752.261
36,06/02/2023,1,770138.891
37,07/02/2023,1,803175.498
38,08/02/2023,1,800557.948
39,09/02/2023,1,790718.284
40,10/02/2023,1,787189.172
41,11/02/2023,1,691843.454
42,12/02/2023,1,644170.591
43,13/02/2023,1,759156.997
44,14/02/2023,1,771915.414
45,15/02/2023,1,760879.865
46,16/02/2023,1,751511.47
47,17/02/2023,1,741302.778
48,18/02/2023,1,652586.519
49,19/02/2023,1,600002.109
50,20/02/2023,1,689970.408
51,21/02/2023,1,714353.697
52,22/02/2023,1,718948.144
53,23/02/2023,1,739992.88
54,24/02/2023,1,736165.914
55,25/02/2023,1,665816.647
56,26/02/2023,1,627994.366
57,27/02/2023,1,763653.175
58,28/02/2023,1,769482.641
59,01/03/2023,1,785988.638
60,02/03/2023,1,791747.223
61,03/03/2023,1,768459.758
62,04/03/2023,1,669998.177
63,05/03/2023,1,632096.855
64,06/03/2023,1,735491.949
65,07/03/2023,1,731287.221
66,08/03/2023,1,721317.296
67,09/03/2023,1,711696.171
68,10/03/2023,1,685018.769
69,11/03/2023,1,604131.58
70,12/03/2023,1,553321.833
71,13/03/2023,1,654554.157
72,14/03/2023,1,665372.032
73,15/03/2023,1,665919.663
74,16/03/2023,1,667233.238
75,17/03/2023,1,665191.753
76,18/03/2023,1,598689.344
77,19/03/2023,1,547796.66
78,20/03/2023,1,637654.592
79,21/03/2023,1,663603.405
80,22/03/2023,1,660893.529
81,23/03/2023,1,660357.63
82,24/03/2023,1,660305.137
83,25/03/2023,1,591480.24
84,26/03/2023,1,521928.506
85,27/03/2023,1,638323.697
86,28/03/2023,1,650466.639
87,29/03/2023,1,652092.022
88,30/03/2023,1,655416.896
89,31/03/2023,1,654643.434
90,01/04/2023,1,587352.17
91,02/04/2023,1,544659.215
92,03/04/2023,1,634620.958
93,04/04/2023,1,646996.244
94,05/04/2023,1,635213.889
95,06/04/2023,1,560439.889
96,07/04/2023,1,514378.457
97,08/04/2023,1,527243.153
98,09/04/2023,1,504947.371
99,10/04/2023,1,558620.039
100,11/04/2023,1,627232.444
101,12/04/2023,1,654982.38
102,13/04/2023,1,653598.477
103,14/04/2023,1,658626.556
104,15/04/2023,1,587911.241
105,16/04/2023,1,542852.619
106,17/04/2023,1,629595.237
107,18/04/2023,1,650028.876
108,19/04/2023,1,651086.845
109,20/04/2023,1,652498.885
110,21/04/2023,1,646726.279
111,22/04/2023,1,585529.064
112,23/04/2023,1,539524.169
113,24/04/2023,1,628950.229
114,25/04/2023,1,654463.894
115,26/04/2023,1,657993.218
116,27/04/2023,1,662815.213
117,28/04/2023,1,657347.095
118,29/04/2023,1,587507.495
119,30/04/2023,1,538003.918
120,01/05/2023,1,520119.805
121,02/05/2023,1,618490.306
122,03/05/2023,1,656374.502
123,04/05/2023,1,661126.608
124,05/05/2023,1,655654.757
125,06/05/2023,1,586672.291
126,07/05/2023,1,544970.07
127,08/05/2023,1,638716.881
128,09/05/2023,1,663749.537
